secID,ticker,secShortName,cnSpell,exchangeCD,assetClass,listStatusCD,listDate,transCurrCD,ISIN,partyID
002667.XSHE,002667,鞍重股份,AZGF,XSHE,E,L,2012-03-29,CNY,CNE100001CQ5,63757.0
002668.XSHE,002668,奥马电器,AMDQ,XSHE,E,L,2012-04-16,CNY,CNE100001D05,62215.0
002669.XSHE,002669,康达新材,KDXC,XSHE,E,L,2012-04-16,CNY,CNE100001D13,65520.0
002670.XSHE,002670,华声股份,HSGF,XSHE,E,L,2012-04-16,CNY,CNE100001D21,65604.0
002671.XSHE,002671,龙泉股份,LQGF,XSHE,E,L,2012-04-26,CNY,CNE100001D70,65740.0
002672.XSHE,002672,东江环保,DJHB,XSHE,E,L,2012-04-26,CNY,CNE100001D88,65467.0
002673.XSHE,002673,西部证券,XBZQ,XSHE,E,L,2012-05-03,CNY,CNE100001D96,26653.0
002674.XSHE,002674,兴业科技,XYKJ,XSHE,E,L,2012-05-07,CNY,CNE100001DB5,65526.0
002675.XSHE,002675,东诚药业,DCYY,XSHE,E,L,2012-05-25,CNY,CNE100001DP5,65615.0
002676.XSHE,002676,顺威股份,SWGF,XSHE,E,L,2012-05-25,CNY,CNE100001DQ3,65676.0
002677.XSHE,002677,浙江美大,ZJMD,XSHE,E,L,2012-05-25,CNY,CNE100001DR1,65674.0
002678.XSHE,002678,珠江钢琴,ZJGQ,XSHE,E,L,2012-05-30,CNY,CNE100001DS9,65944.0
002679.XSHE,002679,福建金森,FJJS,XSHE,E,L,2012-06-05,CNY,CNE100001DX9,66068.0
002680.XSHE,002680,黄海机械,HHJX,XSHE,E,L,2012-06-05,CNY,CNE100001DY7,65972.0
002681.XSHE,002681,奋达科技,FDKJ,XSHE,E,L,2012-06-05,CNY,CNE100001DZ4,65957.0
